Start (of zoals de Russen zeggen 'начало'): 2013-11-20 21:29:17.597102
Loaded 161 entries
End: 2013-11-20 21:29:26.056390
Run: 0:00:08.459288
         6306369 function calls (6305292 primitive calls) in 8.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      161    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/src/gen.py:172(<listcomp>)
       61    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/markupsafe/__init__.py:68(__new__)
       44    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:331(next_if)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:542(tokenize)
       14    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/utils.py:279(unicode_urlencode)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1351(find_loader)
       12    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:538(_normalize_newlines)
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/codecs.py:728(__exit__)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:296(__init__)
        4    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:1515(visit_Filter)
      184    0.000    0.000    0.000    0.000 {built-in method setattr}
       25    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_compile.py:208(_optimize_charset)
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      138    0.000    0.000    0.000    0.000 {built-in method utf_8_encode}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
      133    0.000    0.000    0.000    0.000 {built-in method hasattr}
        2    0.000    0.000    0.000    0.000 {built-in method loads}
